median,min,max,overlap,idx
45,44,68,0.99642,1
45,44,69,0.99712,1
45,44,68,0.99672,1
45,44,68,0.99813,1
45,44,65,0.99368,1
45,44,70,0.99665,1
45,44,70,0.99757,1
45,44,63,0.99772,1
45,44,67,0.99578,1
45,44,67,0.99693,1
45,44,65,0.99762,1
45,44,67,0.99703,1
45,44,75,0.99548,1
45,44,68,0.99545,1
45,44,68,0.99668,1
45,44,67,0.99668,1
45,44,67,0.99752,1
45,44,69,0.99701,1
45,44,66,0.99574,1
45,44,68,0.99784,1
45,44,67,0.99657,1
45,44,70,0.99568,1
45,44,65,0.9964,1
45,44,65,0.9947,1
45,44,75,0.99503,1
45,44,67,0.99773,1
45,44,65,0.99587,1
45,44,65,0.99588,1
45,44,69,0.99739,1
45,44,74,0.99598,1
45,44,74,0.99705,1
45,44,71,0.9982,1
45,44,68,0.99469,1
45,44,66,0.99538,1
45,44,66,0.99806,1
45,44,66,0.99511,1
45,44,68,0.99541,1
45,44,68,0.99563,1
45,44,66,0.99664,1
45,44,67,0.99685,1
45,44,69,0.99504,1
45,44,66,0.99635,1
45,44,65,0.99717,1
45,44,67,0.99719,1
45,44,72,0.9965,1
45,44,66,0.99662,1
45,44,65,0.9955,1
45,44,69,0.99791,1
45,44,67,0.99729,1
45,44,73,0.99595,1
45,44,66,0.99708,1
45,44,70,0.99524,1
45,44,77,0.99618,1
45,44,65,0.99634,1
45,44,67,0.99588,1
45,44,70,0.99717,1
45,44,69,0.99709,1
45,44,68,0.99738,1
45,44,71,0.99702,1
45,44,69,0.9956,1
45,44,71,0.99727,1
45,44,65,0.99541,1
45,44,67,0.99845,1
45,44,71,0.99692,1
45,44,65,0.99774,1
45,44,65,0.9975,1
45,44,72,0.99431,1
45,44,65,0.99803,1
45,44,70,0.99687,1
45,44,69,0.99572,1
45,44,68,0.9966,1
45,44,69,0.99672,1
45,44,65,0.99352,1
45,44,67,0.99573,1
45,44,67,0.99559,1
45,44,67,0.99739,1
45,44,68,0.99578,1
45,44,65,0.99544,1
45,44,68,0.99649,1
45,44,70,0.99658,1
45,44,67,0.99503,1
45,44,70,0.99675,1
45,44,68,0.99767,1
45,44,67,0.99816,1
45,44,67,0.99796,1
45,44,64,0.99739,1
45,44,66,0.99716,1
45,44,67,0.99775,1
45,44,66,0.9967,1
45,44,70,0.99628,1
45,44,68,0.99693,1
45,44,68,0.99652,1
45,44,67,0.99621,1
45,44,65,0.99395,1
45,44,66,0.99535,1
45,44,66,0.99818,1
45,44,65,0.9955,1
45,44,70,0.99628,1
45,44,72,0.99644,1
45,44,68,0.99668,1
45,44,63,0.99823,1
45,44,67,0.99607,1
45,44,67,0.99635,1
45,44,69,0.99534,1
45,44,66,0.99596,1
45,44,65,0.99554,1
45,44,66,0.99752,1
45,44,66,0.99569,1
45,44,68,0.99477,1
45,44,69,0.99685,1
45,44,67,0.99377,1
45,44,74,0.99776,1
45,44,69,0.99665,1
